name,postal_code
NTUC Health AAC (Mount Faber),100076
NTUC Health AAC (Telok Blangah),090041
NTUC Health AAC (Bukit Merah),160117
NTUC Health AAC (Bukit Merah View),151117
NTUC Health AAC (Lengkok Bahru),151057
NTUC Health AAC (Silat),160145
NTUC Health AAC (Redhill),150071
Active Global @ Parcview AAC,100092
Radin Mas CC,098917
Al-Amin Mosque,098801
Monfort GoodLife! Bukit Purmei,090108
Montfort Care GoodLife!@Makan,440052
Goodlife Studio @ Tiong Bahru,164010
Goodlife Studio @ Telok Blangah Towers,102080
THK AAC @ Beo Crescent,160044
THK AAC @ Telok Blangah Cresent,090003
THK AAC @ Indus 79,161079
Sunlove AAC @ Depot Heights,101102
PCS Cedar Tree AAC @Jalan Bukit Merah,160105
Kim Tian East RC,160128
Membina Court RC (temporarily closed),164025
Thong Kheng AAC (Queenstown),150003
Boon Tiong RC,165004
Beo Crescent RN,160026
St Andrew's AAC (Havelock),161051
St Andrew's AAC (PEACE-Connect@8),190008
Moral AAC @ Redhill,150089
Yong En Active Hub,159462
Chong Hua Tong Tou Teck Hwee (Bukit Merah Central),159834
Chinatown AAC (Jalan Kukoh),160009
Chinatown AAC (Chin Swee),160051
Chinatown AAC (Banda),050005
Hong Lim RC,050538
Tanjong Pagar Plaza RC,081004
Tekka RC,210662
Methodist Welfare Services Wesley AAC - Jalan Berseh,200025
Jalan Batu RN,431012
Marine Drive View RC,440075
Marine Crescent Ville RC,440034
Selegie-Waterloo RN,180271
Singapore Pools (Connection One),150169
Seng Poh RC,161048
Marine Drive Garden RN,440061
WeCare @ Marine Parade,440019
Bukit Ho Swee RN,160094
Delta Avenue RC,160003
Henderson Crescent RC,150105
Henderson CityVue RC,151096
Life Care Society,188659
Kampong Tiong Bahru East RN,160136
Silat RN,160144
Cantonment RN,080012
Telok Blangah Mount Faber Zone A RN,090005
Pasir Ris Elias CC,519498
Allkin AAC @ Pasir Ris 476A,511476
MWS AAC - Golden Lily @ Pasir Ris,510212
LB AAC @ Tampines 494E,525494
LB AAC @ Tampines 499C,523499
LB AAC @ Tampines 434,520434
Brahm Centre @ Tampines,520473
Brahm Centre @ Simei 227,520227
St Andrew's AAC (Tampines Changkat),521117
House of Joy Tampines Greenweave,
Our Tampines Hub,528523
Precious AAC (Tampines Greenwood),523868
PCS Cedar Tree Active Ageing Centre,521827
THK AAC @ Fengshan 101,460101
THK AAC @ Fengshan 114,460114
THK AAC @ Kaki Bukit,462509
THK AAC @ Bedok,460012
Bethesda (Bedok-Tampines) Church,469717
The Salvation Army Peacehaven Bedok Arena (Perdaus),460125
Goodlife Studio (Bedok 609),473609
Goodlife Studio (Bedok 613),471613
Goodlife Studio (Tampines 235),521235
Goodlife Studio (Tampines 142),521142
Moral AAC @ Kaki Bukit,460544
Ping An Green RC,461043
Ping An RC,460061
Filos @ Chai Chee,461022
Sunlove AAC @ Chai Chee,461031
Bedok Sunflower RC,460033
Sunlove Day Activity Centre,400012
4S AAC @ Eunos Crescent,400003
St Andrew Senior Care (Bedok North),460223
St Andrew Senior Care (Bedok South),461152
Greenville RC,400318
St Luke's ElderCare AAC @ Changkat,520351
PCF Sparkle Care @ Eunos,410650
NTUC Health AAC (Tampines),529367
NTUC Health AAC (Wisma Geylang Serai),408528
NTUC Health AAC (Pasir Ris),510112
NTUC Health AAC (Bedok North),460429
NTUC Health AAC (Kampung Kembangan),410102
Sunlove Mental Wellness Centre,430004
Darul Ghufran Mosque,529651
PCF Sparkle Care AAC @ Tampines West 813,520922
PCF Sparkle Care @ Tampines 922,520922
MWS AAC - Fernvale Rivergrove,791473
Anchorvale RC (Sengkang West Zone D RN) (by referral only),544307
EconLife! Hub (Sengkang),541327
BCARE AAC @ Compassvale,541287
SASCO@Compassvale,542274
Precious AAC (Compassvale Ancilla),543279
Precious AAC (Punggol Ripples),822211
Precious AAC (Punggol Emerald),821264
Compassvale Villa RC,543206
Fu Hui Link (by referral only),544644
Rivervale Vista RC (by referral only),540188
St Luke's Eldercare Centre @ Rivervale (by referral only),540164
St Luke's ElderCare AAC @ Anchorvale,540353
St Luke's ElderCare AAC @ Northshore,820417
St Luke's ElderCare Centre @ Sumang (by referral only),820222
St Luke's ElderCare @ One Punggol (by referral only),828629
Chong Hua Tong Tou Teck Hwee (Rivervale Crescent),545057
Allkin AAC @ Sengkang 182,540182
Allkin AAC @ Punggol 206A,821206
Allkin AAC @ Sengkang 139,540139
Allkin AAC @ Punggol 677B,822677
Punggol 21 CC,828815
Punggol Gems RN (by referral only),824273
One Punggol CC,828629
Punggol Cascadia RN (by referral only),821316
Anchorvale CC,544965
Compassvale Southgate RC (by referral only),542201
Rivervale Gardens RC (by referral only),541121
Compassvale Garden RC,542257
Rivervale Village RC,543185
Compassvale Vista RC,541226
Buangkok CC (by referral only),544692
Anchorvale West Zone A RC (by referral only),542303
Fernvale Zone K RN (by referral only),790437
Compassvale Beacon RC (by referral only),541210
Compassvale Coris RC (by referral only),520266
Punggol Coral Tree RN (by referral only),823301
Punggol Horizon RC (by referral only),823622
Punggol Meadows RC,824642
Compassvale Green RC,543299
Active Global @ Fernvale Glades,793461
Fernvale CC,797650
Rivervale Spring RN (by referral only),540135
Fernvale Zone E RN,791412
Punggol Matilda RN (by referral only),823217
St Anne's Church,548593
Rivervale Community Club,544583
Punggol Meridian RC,820114
New Hope Agency,792463
Al Mawaddah Mosque,544997
Al Islah Mosque,828812
Fernvale Zone G RN,792406
